1	400	378
1	929	313
1	1873	15
0	5342	1235
1	177	83
1	194	736
0	285	7588
1	7598	53
1	1062	7514
1	65	4
0	7564	7498
1	35	15
1	26	24
1	2336	907
1	1428	109
1	100	5
1	129	1097
1	3451	98
1	163	165
1	364	186
0	191	11
1	518	110
0	188	7550
1	500	23
1	7571	7395
0	85	11
1	177	25
1	30	95
0	708	7496
1	50	90
0	43	7601
1	144	372
1	1067	247
1	7520	7395
0	9	7334
1	753	56
1	344	327
1	1249	28
1	630	57
1	42	66
1	1039	7603
1	17	20
1	119	471
1	503	2
0	43	7484
1	976	12
0	13	7565
1	218	213
1	53	5
1	378	180
1	14	392
1	37	159
1	17	2
1	30	8
1	15	86
0	93	177
1	13	127
0	83	7603
1	688	143
1	484	7
1	177	2
1	74	1017
0	7	7574
1	129	322
1	495	349
0	7518	7603
1	3	2280
1	400	186
1	177	350
1	44	74
1	1026	957
1	673	60
0	177	2280
1	18	57
1	67	51
1	25	4
1	47	159
1	441	1238
1	124	62
1	2	17
1	2330	8
0	332	124
1	26	279
1	13	21
1	11	5
1	76	28
1	20	152
1	7517	5533
1	25	265
1	13	1394
0	37	7564
1	518	517
1	541	1262
0	3002	7594
1	6	227
1	129	1219
1	279	1595
1	973	27
1	97	9
1	374	559
