5	1
8	1
9	0
11	0
12	1
25	0
28	1
32	0
34	1
39	0
43	0
51	1
53	1
63	1
76	0
88	1
95	1
97	1
102	1
107	1
114	1
117	0
129	0
133	0
144	1
152	1
154	1
155	0
156	0
157	0
178	0
179	1
193	1
195	1
197	0
204	1
207	0
211	0
212	1
216	1
224	0
229	0
235	0
237	1
243	1
244	1
250	0
256	1
257	0
261	0
271	1
275	1
276	1
288	0
292	1
300	1
309	1
321	1
323	0
324	0
326	1
327	1
330	0
340	1
349	1
355	0
356	1
357	0
362	1
363	1
373	1
399	1
402	1
413	1
421	1
422	0
424	0
428	0
431	1
434	0
436	0
451	1
452	1
457	1
463	1
468	1
470	1
471	1
474	0
476	1
482	1
484	0
487	0
494	1
496	1
500	1
510	1
511	0
519	0
521	1
529	0
531	0
533	1
542	0
545	0
565	1
566	1
571	0
592	1
595	1
607	0
609	1
610	0
618	0
628	0
630	0
636	1
638	0
642	1
643	1
661	0
663	1
666	0
669	0
670	0
675	1
676	1
690	0
696	0
698	1
706	0
710	1
717	0
721	1
723	0
724	0
725	1
738	1
743	1
749	1
769	0
770	1
778	0
783	1
784	1
799	1
800	0
804	0
816	1
820	1
825	0
834	1
837	0
851	0
855	1
856	0
862	1
869	1
890	0
893	0
922	1
929	0
934	1
935	1
938	1
943	0
944	1
952	1
960	0
962	1
967	0
968	0
975	1
979	0
981	1
982	0
984	1
998	0
999	1
1005	1
1009	1
1017	1
1025	1
1037	1
1038	0
1047	0
1050	1
1063	0
1068	0
1075	0
1080	0
1083	1
1103	1
1104	1
1106	0
1108	1
1132	1
1143	1
1144	0
1145	1
1150	1
1152	1
1153	0
1154	0
1155	0
1171	0
1173	1
1174	0
1191	1
1203	1
1205	0
1208	1
1216	0
1235	1
1237	0
1240	0
1242	0
1246	0
1252	0
1257	1
1277	1
1295	0
1296	0
1298	1
1300	0
1305	0
1306	0
1316	0
1319	1
1328	1
1329	1
1334	1
1335	1
1340	0
1341	0
1342	0
1347	0
1351	0
1353	1
1354	1
1357	0
1368	1
1373	0
1381	0
1386	1
1392	1
1396	1
1400	0
1413	1
1417	1
1420	0
1423	0
1428	0
1430	0
1442	1
1444	1
1445	1
1448	1
1466	1
1474	1
1477	1
1499	1
1509	1
1515	1
1528	1
1529	1
1536	0
1537	0
1538	0
1539	0
1543	1
1548	0
1551	0
1552	1
1556	0
1561	1
1562	0
1573	1
1574	0
1575	0
1588	0
1589	1
1590	0
1595	1
1599	1
1600	1
1610	1
1612	0
1627	1
1632	1
1634	1
1641	0
1644	1
1651	0
1656	0
1675	1
1683	0
1689	1
1691	1
1696	1
1698	1
1704	0
1710	0
1717	0
1729	1
1730	1
1731	0
1736	0
1745	0
1748	0
1751	0
1754	1
1756	1
1761	1
1763	1
1768	1
1769	1
1770	0
1778	1
1781	1
1784	1
1796	0
1797	1
1801	1
1804	1
1806	1
1808	0
1809	0
1810	1
1813	1
1822	0
1823	0
1842	1
1853	0
1855	0
1866	0
1867	0
1872	0
1880	1
1883	1
1890	1
1897	1
1900	0
1906	1
1913	0
1923	1
1931	1
1932	0
1941	0
1943	1
1944	0
1953	1
1956	0
1973	1
1988	1
1990	0
1992	0
1998	1
2000	1
2003	1
2004	0
2011	1
2016	1
2017	1
2021	1
2023	1
2024	1
2035	1
2041	0
2046	0
2049	1
2057	0
2063	1
2064	1
2066	1
2071	1
2086	0
2092	1
2095	0
2098	0
2100	0
2106	1
2108	0
2110	0
2113	0
2120	1
2127	0
2134	0
2136	0
2145	0
2158	1
2160	1
2167	0
2175	1
2177	0
2180	0
2185	1
2191	1
2192	0
2193	0
2195	0
2200	1
2202	1
2204	1
2232	1
2236	1
2239	0
2247	0
2251	1
2252	0
2255	0
2260	1
2261	1
2264	0
2283	1
2287	0
2294	1
2306	1
2310	0
2312	1
2316	0
2318	1
2322	1
2323	1
2329	0
2334	0
2335	1
2343	1
2355	0
2357	0
2359	0
2361	1
2365	0
2369	0
2390	0
2391	0
2394	0
2399	0
2401	1
2405	1
2406	1
2425	1
2431	1
2436	1
2442	1
2445	1
2447	1
2455	1
2458	1
2459	0
2471	1
2479	1
2489	1
2492	0
2498	1
2502	1
2505	1
2511	1
2515	0
2532	0
2540	0
2542	1
2544	0
2547	1
2552	0
2577	1
2582	1
2590	1
2591	0
2594	1
2598	1
2602	1
2603	0
2610	1
2618	1
2627	1
2651	0
2652	1
2657	1
2659	1
2672	0
2676	0
2682	0
2686	1
2700	0
2701	0
2702	0
2707	1
2715	1
2717	0
2723	1
2727	0
2738	1
2745	0
2746	1
2748	0
2749	1
2751	1
2752	0
2754	1
2758	0
2760	1
2766	1
2774	1
2792	1
2798	1
2800	0
2807	1
2812	0
2813	0
2814	1
2820	0
2830	1
2835	1
2837	0
2838	0
2841	1
2847	0
2848	0
2861	0
2864	0
2871	1
2879	0
2887	1
2902	0
2904	1
2917	0
2922	1
2927	1
2932	0
2936	1
2938	1
2944	0
2947	1
2953	1
2964	0
2966	0
2969	1
2983	0
2985	0
2988	1
2991	1
2997	1
2999	1
3001	0
3003	0
3004	0
3010	0
3017	0
3018	1
3028	1
3034	0
3036	0
3042	1
3044	1
3045	1
3046	1
3049	1
3053	1
3059	0
3070	0
3071	0
3082	0
3086	1
3087	0
3089	0
3095	1
3101	1
3105	1
3111	0
3123	1
3128	0
3131	1
3138	0
3150	1
3153	1
3155	0
3161	0
3166	1
3167	0
3186	1
3195	0
3200	1
3204	1
3207	0
3208	1
3209	1
3223	1
3225	1
3235	1
3240	1
3244	1
3248	1
3253	0
3262	1
3271	0
3272	0
3294	1
3309	1
3320	1
3322	1
3332	0
3341	1
3345	1
3346	1
3349	1
3362	1
3363	1
3368	1
3383	0
3385	0
3386	1
3397	0
3408	0
3417	0
3428	0
3429	1
3433	0
3444	0
3446	0
3455	0
3458	1
3465	0
3466	0
3471	1
3479	1
3482	1
3485	1
3513	1
3518	1
3522	1
3523	0
3524	1
3530	1
3547	1
3556	0
3559	0
3567	1
3571	0
3573	0
3574	1
3575	1
3580	1
3585	1
3592	1
3602	1
3607	0
3609	0
3610	1
3619	0
3625	0
3636	0
3646	1
3647	0
3662	0
3672	1
3674	0
3681	1
3684	1
3685	0
3691	1
3697	1
3698	1
3700	0
3706	0
3707	0
3711	0
3722	1
3727	1
3732	1
3733	0
3740	0
3744	0
3755	1
3759	1
3762	0
3765	1
3784	0
3796	1
3802	0
3806	1
3807	0
3808	1
3819	1
3820	0
3836	1
3842	0
3845	1
3846	1
3848	1
3850	0
3851	1
3852	1
3854	1
3857	1
3865	1
3866	1
3879	1
3881	1
3885	1
3893	0
3894	1
