1	80	81
1	1363	708
0	3441	3738
0	3792	4676
1	1317	425
0	3791	4678
1	1018	3406
0	2293	2208
1	257	21
0	2691	2670
0	3792	2017
1	2751	2028
1	4238	4356
1	257	331
0	4458	4637
1	775	35
1	3804	3452
1	3828	4452
1	3824	2642
1	1810	3878
1	1615	1201
0	5039	4988
0	2125	4966
0	1810	3903
1	4205	1352
1	2230	2118
1	4899	5472
0	905	5649
0	481	3756
0	215	3642
0	2635	2636
1	5983	1810
1	2124	2142
1	3564	3552
0	1810	5150
1	4015	3990
0	2691	2699
0	132	1383
1	905	1018
1	1543	2683
0	1829	1383
0	3504	1953
0	3793	4677
1	4	492
1	4681	4688
1	478	490
0	4838	25
1	1763	1744
0	3649	4708
0	2269	2090
1	13	2618
1	3756	2962
1	3483	3484
0	3794	4666
1	3242	1018
1	1201	272
1	3366	3250
1	882	342
0	2937	75
0	1815	4669
1	937	1675
1	5732	5729
0	2351	2700
1	4679	4688
1	3236	3119
0	2296	3699
1	363	1366
0	905	5132
1	1334	2642
1	5524	1953
1	1289	1615
1	1839	1185
1	4163	3545
1	2683	2682
1	5227	51
0	4107	4075
0	1	2410
0	2296	2017
1	2569	2570
0	3791	4654
0	3988	5733
1	3605	2642
1	1719	2198
1	540	732
1	1046	353
1	7	537
1	2118	2784
1	2680	2684
0	476	805
1	4694	4379
1	535	447
0	2875	2498
0	3789	4679
1	824	1015
1	3190	25
1	4281	4172
1	5549	5521
0	2067	2886
0	4458	4675
1	1555	1585
